uaat_target,baseline,baseline_target,cost_ratio,c_wrong_mean,c_wrong_std,c_defer_mean,c_defer_std,uaat_coverage_mean,uaat_coverage_std,baseline_coverage_mean,baseline_coverage_std,coverage_gap_mean,coverage_gap_std,uaat_risk_mean,uaat_risk_std,baseline_risk_mean,baseline_risk_std,risk_delta_baseline_minus_uaat_mean,risk_delta_baseline_minus_uaat_std,risk_reduction_pct_mean,risk_reduction_pct_std,uaat_wrong_auto_rate_mean,uaat_wrong_auto_rate_std,baseline_wrong_auto_rate_mean,baseline_wrong_auto_rate_std,wrong_auto_delta_mean,wrong_auto_delta_std,uaat_auto_error_rate_mean,uaat_auto_error_rate_std,baseline_auto_error_rate_mean,baseline_auto_error_rate_std,uaat_defer_rate_mean,uaat_defer_rate_std,baseline_defer_rate_mean,baseline_defer_rate_std,n_mean,n_std
0.6,fixed,0.48,10:1,10.0,0.0,1.0,0.0,0.49548112706007447,0.04426615542406402,0.49362041467304624,0.04104341062984937,0.0029239766081870667,0.0016600207332266388,2.8782562466772994,0.1899221766925073,2.8482190324295584,0.20401637667739758,-0.0300372142477405,0.016465582845240447,-1.0821421788128667,0.6336194791204484,0.23737373737373738,0.023417474204398776,0.2341839447102605,0.024505587759693363,-0.0031897926634768003,0.001381220739688068,0.47880161554538775,0.00479331973613507,0.47384284926278203,0.010433172967992926,0.5045188729399256,0.044266155424063994,0.5063795853269538,0.041043410629849356,1254.0,0.0
0.6,uncertainty_grid,0.48,10:1,10.0,0.0,1.0,0.0,0.49548112706007447,0.04426615542406402,0.49362041467304624,0.04104341062984937,0.0029239766081870667,0.0016600207332266388,2.8782562466772994,0.1899221766925073,2.8482190324295584,0.20401637667739758,-0.0300372142477405,0.016465582845240447,-1.0821421788128667,0.6336194791204484,0.23737373737373738,0.023417474204398776,0.2341839447102605,0.024505587759693363,-0.0031897926634768003,0.001381220739688068,0.47880161554538775,0.00479331973613507,0.47384284926278203,0.010433172967992926,0.5045188729399256,0.044266155424063994,0.5063795853269538,0.041043410629849356,1254.0,0.0
0.7,fixed,0.56,10:1,10.0,0.0,1.0,0.0,0.5825358851674641,0.028757931292275888,0.5861244019138756,0.0248107642521596,0.0035885167464114,0.003947167040116344,3.3201754385964914,0.11785113019775798,3.372408293460925,0.12179829723787407,0.05223285486443395,0.003947167040116416,1.5477253478852266,0.06114514439048086,0.2902711323763955,0.014660906149003323,0.29585326953748003,0.014660906149003403,0.0055821371610844505,7.083749208427823e-17,0.49827479455139023,0.0005691560830218647,0.5046846543064174,0.0036498978072551794,0.41746411483253587,0.02875793129227583,0.4138755980861244,0.024810764252159563,1254.0,0.0
0.7,fixed,0.57,10:1,10.0,,1.0,,0.5406698564593302,,0.5462519936204147,,0.0055821371610844,,3.1387559808612444,,3.149122807017544,,0.0103668261562996,,0.329197265130408,,0.2679425837320574,,0.2695374800637958,,0.0015948963317383,,0.495575221238938,,0.4934306569343065,,0.4593301435406698,,0.4537480063795853,,1254.0,
0.7,uncertainty_grid,0.56,10:1,10.0,0.0,1.0,0.0,0.5825358851674641,0.028757931292275888,0.5861244019138756,0.0248107642521596,0.0035885167464114,0.003947167040116344,3.3201754385964914,0.11785113019775798,3.372408293460925,0.12179829723787407,0.05223285486443395,0.003947167040116416,1.5477253478852266,0.06114514439048086,0.2902711323763955,0.014660906149003323,0.29585326953748003,0.014660906149003403,0.0055821371610844505,7.083749208427823e-17,0.49827479455139023,0.0005691560830218647,0.5046846543064174,0.0036498978072551794,0.41746411483253587,0.02875793129227583,0.4138755980861244,0.024810764252159563,1254.0,0.0
0.7,uncertainty_grid,0.57,10:1,10.0,,1.0,,0.5406698564593302,,0.5462519936204147,,0.0055821371610844,,3.1387559808612444,,3.149122807017544,,0.0103668261562996,,0.329197265130408,,0.2679425837320574,,0.2695374800637958,,0.0015948963317383,,0.495575221238938,,0.4934306569343065,,0.4593301435406698,,0.4537480063795853,,1254.0,
0.8,fixed,0.62,10:1,10.0,,1.0,,0.6794258373205742,,0.6866028708133971,,0.0071770334928229,,3.861244019138757,,3.9098883572567775,,0.0486443381180206,,1.2441362431164154,,0.354066985645933,,0.3596491228070175,,0.0055821371610845,,0.5211267605633803,,0.5238095238095238,,0.3205741626794258,,0.3133971291866029,,1254.0,
0.8,fixed,0.64,10:1,10.0,,1.0,,0.5996810207336523,,0.594896331738437,,0.0047846889952152,,3.4625199362041466,,3.4035087719298245,,-0.059011164274322,,-1.7338331771321431,,0.3062200956937799,,0.2998405103668261,,-0.0063795853269538,,0.5106382978723404,,0.5040214477211796,,0.4003189792663477,,0.4051036682615629,,1254.0,
0.8,fixed,0.65,10:1,10.0,,1.0,,0.6666666666666666,,0.6634768740031898,,0.0031897926634768,,3.7783094098883576,,3.781499202551834,,0.0031897926634765,,0.0843525938422513,,0.3444976076555024,,0.3444976076555024,,0.0,,0.5167464114832536,,0.5192307692307693,,0.3333333333333333,,0.3365231259968102,,1254.0,
0.8,uncertainty_grid,0.62,10:1,10.0,,1.0,,0.6794258373205742,,0.6866028708133971,,0.0071770334928229,,3.861244019138757,,3.9098883572567775,,0.0486443381180206,,1.2441362431164154,,0.354066985645933,,0.3596491228070175,,0.0055821371610845,,0.5211267605633803,,0.5238095238095238,,0.3205741626794258,,0.3133971291866029,,1254.0,
0.8,uncertainty_grid,0.64,10:1,10.0,,1.0,,0.5996810207336523,,0.594896331738437,,0.0047846889952152,,3.4625199362041466,,3.4035087719298245,,-0.059011164274322,,-1.7338331771321431,,0.3062200956937799,,0.2998405103668261,,-0.0063795853269538,,0.5106382978723404,,0.5040214477211796,,0.4003189792663477,,0.4051036682615629,,1254.0,
0.8,uncertainty_grid,0.65,10:1,10.0,,1.0,,0.6666666666666666,,0.6634768740031898,,0.0031897926634768,,3.7783094098883576,,3.781499202551834,,0.0031897926634765,,0.0843525938422513,,0.3444976076555024,,0.3444976076555024,,0.0,,0.5167464114832536,,0.5192307692307693,,0.3333333333333333,,0.3365231259968102,,1254.0,
0.9,fixed,0.7,10:1,10.0,0.0,1.0,0.0,0.7089314194577352,0.03608838436677751,0.710127591706539,0.03665226537250842,0.0011961722488038,0.000563881005730886,4.09090909090909,0.1838252078682724,4.053827751196172,0.2340106173783232,-0.03708133971291875,0.050185409510050204,-0.9520419385062577,1.2929332952684913,0.37998405103668254,0.021991359223505064,0.37639553429027106,0.027066288275083086,-0.0035885167464114,0.005074929051577975,0.535900301154065,0.0037402534298924864,0.5297613184937129,0.010771776698859422,0.2910685805422647,0.03608838436677755,0.2898724082934609,0.036652265372508465,1254.0,0.0
0.9,fixed,0.75,10:1,10.0,,1.0,,0.7543859649122807,,0.7496012759170654,,0.0047846889952153,,4.304625199362041,,4.301435406698565,,-0.003189792663476,,-0.0741564701520022,,0.4059011164274322,,0.405103668261563,,-0.0007974481658691,,0.5380549682875264,,0.5404255319148936,,0.2456140350877192,,0.2503987240829346,,1254.0,
0.9,uncertainty_grid,0.7,10:1,10.0,0.0,1.0,0.0,0.7089314194577352,0.03608838436677751,0.710127591706539,0.03665226537250842,0.0011961722488038,0.000563881005730886,4.09090909090909,0.1838252078682724,4.053827751196172,0.2340106173783232,-0.03708133971291875,0.050185409510050204,-0.9520419385062577,1.2929332952684913,0.37998405103668254,0.021991359223505064,0.37639553429027106,0.027066288275083086,-0.0035885167464114,0.005074929051577975,0.535900301154065,0.0037402534298924864,0.5297613184937129,0.010771776698859422,0.2910685805422647,0.03608838436677755,0.2898724082934609,0.036652265372508465,1254.0,0.0
0.9,uncertainty_grid,0.75,10:1,10.0,,1.0,,0.7543859649122807,,0.7496012759170654,,0.0047846889952153,,4.304625199362041,,4.301435406698565,,-0.003189792663476,,-0.0741564701520022,,0.4059011164274322,,0.405103668261563,,-0.0007974481658691,,0.5380549682875264,,0.5404255319148936,,0.2456140350877192,,0.2503987240829346,,1254.0,
