target_coverage,cost_ratio,policy,c_wrong_mean,c_wrong_std,c_defer_mean,c_defer_std,coverage_mean,coverage_std,risk_mean,risk_std,wrong_auto_rate_mean,wrong_auto_rate_std,auto_error_rate_mean,auto_error_rate_std,defer_rate_mean,defer_rate_std,n_mean,n_std
0.6,5:1,fixed,5.0,0.0,1.0,0.0,0.42260444174398043,0.017283094710645566,0.8276039354069781,0.046631569404447286,0.05004167543019167,0.012735193844853634,0.11771383859984778,0.025990773245540263,0.5773955582560196,0.01728309471064551,42791.0,0.0
0.6,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.42961526177623016,0.02460388703347224,0.8390159924594736,0.05541505352087289,0.0537262508471407,0.01598899106178321,0.12387038202886373,0.031156178975688915,0.5703847382237698,0.02460388703347226,42791.0,0.0
0.6,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.42241748654312045,0.017148973646410392,0.8273624516058673,0.04638628326988297,0.0499559876297975,0.01265474773847429,0.11757329520305619,0.025853512570095497,0.5775825134568796,0.017148973646410274,42791.0,0.0
0.7,5:1,fixed,5.0,0.0,1.0,0.0,0.5236069890085921,0.019330044656568218,1.0151355814696237,0.09307125914176183,0.10774851409564311,0.02245104159117816,0.20491245591005747,0.03572856919025127,0.4763930109914078,0.019330044656568218,42791.0,0.0
0.7,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.5019669245090478,0.016561261438092063,0.9658495166429079,0.07245641833198882,0.09356328823039106,0.017428721453913873,0.18584727458865843,0.028864205385867838,0.4980330754909521,0.01656126143809205,42791.0,0.0
0.7,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.5230694928061196,0.019293620667930552,1.013530882662242,0.09256359784493262,0.10732007509367227,0.022333669162007096,0.2043134852510395,0.035518661237613845,0.4769305071938803,0.019293620667930503,42791.0,0.0
0.8,5:1,fixed,5.0,0.0,1.0,0.0,0.6532136820047829,0.03043223843472086,1.3320012775272059,0.1285400120391558,0.19704299190639774,0.030889329125596044,0.30081976618378714,0.03468066187236522,0.34678631799521703,0.03043223843472089,42791.0,0.0
0.8,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.5953822065387581,0.025193177989719293,1.1926339650861164,0.1057873349781535,0.15760323432497483,0.024786430087560048,0.2641240996744045,0.03310862858872242,0.4046177934612418,0.025193177989719304,42791.0,0.0
0.8,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.6462028619725332,0.03461356338786494,1.312020440435294,0.1426548509422504,0.19164466048156537,0.03474043751337001,0.29541396862688213,0.038579159299683065,0.35379713802746676,0.03461356338786491,42791.0,0.0
0.9,5:1,fixed,5.0,0.0,1.0,0.0,0.803245230694928,0.04122171624744925,1.7299042633575594,0.1516796640348586,0.3066298988104975,0.034620352472388836,0.38150615907293384,0.03397438748607188,0.19675476930507188,0.04122171624744924,42791.0,0.0
0.9,5:1,uaat_monotone,5.0,0.0,1.0,0.0,0.7106556674690161,0.028721528315489853,1.4910378350587739,0.16516745566823604,0.24033870050555803,0.03744837053226773,0.3374443638328621,0.04161611411024733,0.28934433253098396,0.028721528315489853,42791.0,0.0
0.9,5:1,uncertainty_grid,5.0,0.0,1.0,0.0,0.7960786146619617,0.049421861285033175,1.7072359452532853,0.1712417542787817,0.30066291198304934,0.040871566447777806,0.3770675502489586,0.03658865835962906,0.20392138533803836,0.04942186128503318,42791.0,0.0
